Record_ID,Timestamp,Flight_ID,Cargo_Volume,Cargo_Type,Shipment_Priority,Arrival_Departure,Terminal_ID,Gate_Assigned,Handling_Time,Waiting_Time,Workforce_Assigned,Equipment_Used,Equipment_Type,Facility_Utilization,Storage_Occupancy,Queue_Length,Flight_Delay,Peak_Hour_Indicator,Weather_Condition,Operational_Cost,Energy_Consumption,Throughput_Rate,Bottleneck_Flag,Demand_Forecast,Real_Time_Load,Allocation_Strategy,Allocation_Efficiency_Class
1,2024-03-22 01:39:00,FL8546,48.07,Hazardous,Medium,Arrival,T4,17,23.24,8.57,13,6,Crane,47.1,96.06,73,52.07,0,Clear,1362.3,487.29,83.04,0,118.29,28.15,Optimized,Moderate Efficiency
2,2024-01-19 05:05:00,FL9797,114.33,Express,High,Departure,T2,32,106.85,33.66,31,12,Loader,88.56,45.3,47,79.87,0,Clear,1193.42,602.07,25.17,1,123.53,70.81,Optimized,Low Efficiency
3,2024-07-19 06:29:00,FL6490,89.18,Hazardous,Low,Arrival,T1,46,165.06,43.53,48,1,Forklift,63.74,46.02,23,62.79,0,Storm,4419.53,970.64,99.91,1,12.72,27.26,Baseline,Low Efficiency
4,2024-06-27 07:47:00,FL8577,73.85,Express,Low,Departure,T4,7,49.02,36.21,8,12,Forklift,79.16,63.67,75,81.54,0,Rain,4832.66,1024.58,18.09,1,140.04,80.36,Optimized,Low Efficiency
5,2024-06-11 12:53:00,FL7782,22.94,Express,Medium,Departure,T1,39,76.42,110.79,44,9,Loader,60.68,30.52,50,49.71,0,Fog,3300.43,219.5,22.47,1,136.87,18.6,Adaptive,Low Efficiency
6,2024-04-11 14:36:00,FL1917,22.94,Hazardous,Critical,Arrival,T4,14,72.97,31.74,21,7,Forklift,80.14,97.55,65,15.74,0,Storm,4555.65,1246.93,80.0,0,94.18,28.71,Optimized,Low Efficiency
7,2024-03-15 15:13:00,FL9537,11.68,Perishable,Medium,Arrival,T4,15,76.95,58.77,41,8,Loader,93.35,32.26,16,22.17,1,Clear,4167.0,992.04,32.46,0,58.84,55.52,Baseline,Low Efficiency
8,2024-03-04 07:21:00,FL5904,104.61,Express,Medium,Departure,T2,44,26.7,115.1,7,7,Crane,82.08,71.73,50,15.88,1,Storm,1193.06,558.29,35.2,0,61.66,81.56,Optimized,Low Efficiency
9,2024-11-03 05:37:00,FL6169,74.13,Hazardous,High,Departure,T3,12,64.64,106.11,8,5,Crane,80.28,54.78,13,30.17,1,Storm,1503.36,416.9,106.4,1,84.93,26.05,Adaptive,Moderate Efficiency
10,2024-01-24 03:26:00,FL9779,86.43,General,Critical,Departure,T3,8,67.18,40.56,44,5,Conveyor,85.44,37.21,84,42.98,1,Clear,804.92,944.32,50.06,0,50.83,133.07,Adaptive,Low Efficiency
